year,place_name,place_type,lat,lon,population,lower_bound,upper_bound,confidence,source_key,methodology,geographic_precision,demographic_precision,notes
1170,West Europe,macroregion,48.5,5.0,103000,,,low,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1170,East Europe & Balkans,macroregion,50.2,24.5,47000,,,low,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1170,Asia & Africa,macroregion,31.5,34.0,1050000,,,low,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1300,West Europe,macroregion,48.5,5.0,385000,,,low,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1300,East Europe & Balkans,macroregion,50.2,24.5,65000,,,low,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1300,Asia & Africa,macroregion,31.5,34.0,750000,,,low,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1490,West Europe,macroregion,48.5,5.0,510000,,,low,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1490,East Europe & Balkans,macroregion,50.2,24.5,90000,,,low,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1490,Asia & Africa,macroregion,31.5,34.0,700000,,,low,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1700,West Europe,macroregion,48.5,5.0,146000,,,medium,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1700,East Europe & Balkans,macroregion,50.2,24.5,573000,,,medium,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1700,Asia & Africa,macroregion,31.5,34.0,377000,,,medium,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1700,Americas & Oceania,macroregion,39.0,-84.0,4000,,,medium,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1825,West Europe,macroregion,48.5,5.0,458000,,,medium,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1825,East Europe & Balkans,macroregion,50.2,24.5,2272000,,,medium,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1825,Asia & Africa,macroregion,31.5,34.0,540000,,,medium,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1825,Americas & Oceania,macroregion,39.0,-84.0,11000,,,medium,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1880,West Europe,macroregion,48.5,5.0,1044000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1880,East Europe & Balkans,macroregion,50.2,24.5,5727000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1880,Asia & Africa,macroregion,31.5,34.0,630000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1880,Americas & Oceania,macroregion,39.0,-84.0,262000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1939,West Europe,macroregion,48.5,5.0,1350000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1939,East Europe & Balkans,macroregion,50.2,24.5,8150000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1939,Asia & Africa,macroregion,31.5,34.0,1600000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1939,Americas & Oceania,macroregion,39.0,-84.0,5400000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1948,West Europe,macroregion,48.5,5.0,1035000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1948,East Europe & Balkans,macroregion,50.2,24.5,2665000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1948,Asia & Africa,macroregion,31.5,34.0,2000000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1948,Americas & Oceania,macroregion,39.0,-84.0,5800000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1995,West Europe,macroregion,48.5,5.0,1037000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
1995,East Europe & Balkans,macroregion,50.2,24.5,704000,,,high,dellapergola_2001,Published historical demographic estimate; plotted at a schematic regional centroid.,macroregion (schematic centroid),historical estimate,Do not interpret the plotted point as a city or exact center of population.
